Tipo,Métrica,Adults,"Adults Outliers 1,5","Adults Outliers 3,0"
AE,Acurácia,"0,06216","0,04144","0,04298"
AE,AUROC,"0,06219","0,06270","0,00368"
VAE 1,Acurácia,"0,06216","0,05142","0,06523"
VAE 1,AUROC,"0,05379","0,05934","0,08588"
VAE 2,Acurácia,"0,03684","0,03377","0,02993"
VAE 2,AUROC,"0,09707","0,01450","0,03951"
CTAB-GAN,Acurácia,"0,03000","0,05000","0,04000"
CTAB-GAN,AUROC,"0,05000","0,07000","0,03000"
