Modelo,Tratamento,NNDR
AE,A,0.16012080325719438
AE,A,0.3968487784368825
AE,A,0.2731900030936954
AE,A,0.12075457247562386
AE,A,0.1635681367307008
AE,A,0.050429981702121714
AE,A,0.1071299397723775
AE,A,0.0961606420676731
AE,A,0.15356248373413822
AE,A,0.07479702668067807
AE,A,0.16690805754309251
AE,A,0.11113273707088468
AE,A,0.13988958498201456
AE,A,0.1310251578850469
AE,A,0.08562299537871391
AE,A,0.2803393834842143
AE,A,0.3256179446780673
AE,A,0.15692412755965418
AE,A,0.24037962180881609
AE,A,0.16818933324665716
AE,A,0.41286131391551445
AE,A,0.14494220041672823
AE,A,0.07933146906761074
AE,A,0.08021413657656906
AE,A,0.06683898014937897
AE,A,0.13798624004171348
AE,A,0.8954369950133894
AE,A,0.3790831523435722
AE,A,0.06687735742540822
AE,A,0.4115433382193262
AE,A,0.1397124972132745
AE,A,0.15204813763669064
AE,A,0.18945294947462218
AE,A,0.019099653424651853
AE,A,0.06727693891489529
AE,A,0.3541738674956592
AE,A,0.06104283952809821
AE,A,0.22313715048235216
AE,A,0.21979486752645797
AE,A,0.855617003028311
AE,A,0.024498202353591077
AE,A,0.09739719927714553
AE,A,0.0535674242782721
AE,A,0.13713811508945067
AE,A,0.9938470944746982
AE,A,0.38357336213123855
AE,A,0.0755883927756685
AE,A,0.15057491227727113
AE,A,0.02131810742607062
AE,A,0.022790459890467192
AE,A,0.3301077357516294
AE,A,0.04718745092865181
AE,A,0.15768645891453925
AE,A,0.12276463954837898
AE,A,0.21717564349730978
AE,A,0.3244553948201842
AE,A,0.6757012767498232
AE,A,0.5409363877469222
AE,A,0.08264979379510662
AE,A,0.1270289947599825
AE,A,0.11030551695914143
AE,A,0.02386854222906361
AE,A,0.12937992282726135
AE,A,0.0648180535635568
AE,A,0.21071117772508702
AE,A,0.09686188550920355
AE,A,0.24479843576560117
AE,A,0.8137572740279768
AE,A,0.34333500029228575
AE,A,0.15740757849462542
AE,A,0.09676303763439249
AE,A,0.11871666181350143
AE,A,0.07232971596365792
AE,A,0.1623262154781737
AE,A,0.6774777606781186
AE,A,0.1926519821048042
AE,A,0.30171748578440777
AE,A,0.37743114444596326
AE,A,0.9224256961343988
AE,A,0.11449827032750277
AE,A,0.046667176161260704
AE,A,0.2432842073136035
AE,A,0.012751854609979412
AE,A,0.33000690220217077
AE,A,0.4025789605418065
AE,A,0.1604968955793401
AE,A,0.14601971583480775
AE,A,0.06429562321050862
AE,A,0.15250090720008433
AE,A,0.1460031934461379
AE,A,0.12563333140860286
AE,A,0.6674258704842869
AE,A,0.0549582864501272
AE,A,0.18543494336383015
AE,A,0.09502148814611171
AE,A,0.13058215506680096
AE,A,0.10386891921462009
AE,A,0.0947827843521351
AE,A,0.18715502492413053
AE,A,0.06359876803490659
AE,A,0.18122479511824083
AE,A,0.1807381053302849
AE,A,0.162046325136112
AE,A,0.010451378688779569
AE,A,0.28041058042716344
AE,A,0.4014091869317001
AE,A,0.10577950373471809
AE,A,0.30970816749156715
AE,A,0.07167955643807734
AE,A,0.13985166591614728
AE,A,0.6718955203724025
AE,A,0.21825732448078217
AE,A,0.0874549739408372
AE,A,0.06398477921941102
AE,A,0.04555271110087645
AE,A,0.24026456577854616
AE,A,0.042831723288694244
AE,A,0.6052780258871926
AE,A,0.418433739869728
AE,A,0.13548872071960863
AE,A,0.1580231438326673
AE,A,0.46871099585968623
AE,A,0.16057135780231369
AE,A,0.22468682496021455
AE,A,0.23720023023030765
AE,A,0.08054330970334145
AE,A,0.09108013421012023
AE,A,0.05928662783766073
AE,A,0.14752571342977663
AE,A,0.18814201255614105
AE,A,0.03181130481644683
AE,A,0.6167005218132832
AE,A,0.2933748078988105
AE,A,0.10677166317778893
AE,A,0.08391923555854712
AE,A,0.13758830542229716
AE,A,0.09624853769159372
AE,A,0.9182475701649248
AE,A,0.22866273897161637
AE,A,0.21998228635694345
AE,A,0.04948241818977081
AE,A,0.43837451293634805
AE,A,0.045550504732758075
AE,A,0.24131638226178695
AE,A,0.20402903894447388
AE,A,0.1653788222047453
AE,A,0.038389670969608915
AE,A,0.19603293785217638
AE,A,0.1278169595754361
AE,A,0.0839864270987623
AE,A,0.10546042691761007
AE,A,0.22150915075782698
AE,A,0.9997340143271765
AE,A,0.07532896794483702
AE,A,0.11643615010179217
AE,A,0.09864083927784306
AE,A,0.3527653434272798
AE,A,0.15393427432124218
AE,A,0.0502610191208692
AE,A,0.06275456424471122
AE,A,0.05084670356602213
AE,A,0.24262657645582425
AE,A,0.1563036158073069
AE,A,0.07417901412444905
AE,A,0.08420895811788842
AE,A,0.0638230806949913
AE,A,0.22196948812680783
AE,A,0.06517632517421314
AE,A,0.16399827568767245
AE,A,0.07955730603894078
AE,A,0.1839026832733262
AE,A,0.09880309150706275
AE,A,0.05039999682699692
AE,A,0.28091650141901653
AE,A,0.1587893554718293
AE,A,0.01964071708467343
AE,A,0.3279463328373516
AE,A,0.09533727744852986
AE,A,0.10554186202177586
AE,A,0.16552159228789948
AE,A,0.18100958292705582
AE,A,0.056884795082730255
AE,A,0.06513106483572728
AE,A,0.09511082394690132
AE,A,0.18688500366669072
AE,A,0.05652523354645076
AE,A,0.2948075247249586
AE,A,0.08848460489753307
AE,A,0.30970376089935964
AE,A,0.042978202905466674
AE,A,0.21788720780290952
AE,A,0.0637301703738619
AE,A,0.38635962282795155
AE,A,0.1612918188450384
AE,A,0.05290386890078323
AE,A,0.253370456816588
AE,A,0.11830005237931589
AE,A,0.2797238460240933
AE,A,0.14462973534334675
AE,A,0.015447540427724154
AE,A,0.019387430922510974
AE,A,0.12549351601725173
AE,A,0.12646478520647864
AE,A,0.03795676003683186
AE,A,0.08697461682706571
AE,A,0.004445441586464359
AE,A,0.14121561946814282
AE,A,0.38467477795251803
AE,A,0.21224378667346128
AE,A,0.22375095673704715
AE,A,0.11597620915654827
AE,A,0.08213126227138537
AE,A,0.04828207599155156
AE,A,0.04100974073162475
AE,A,0.11294412690367565
AE,A,0.06250063688471039
AE,A,0.0994944485994368
AE,A,0.06756155529046647
AE,A,0.4115956475727166
AE,A,0.07973744319681426
AE,A,0.0467339675452329
AE,A,0.21402846162043002
AE,A,0.14797218325008146
AE,A,0.17326001216822748
AE,A,0.04236219924682816
AE,A,0.037916041431333286
AE,A,0.0977025361017972
AE,A,0.05815638743119947
AE,A,0.05386624386637507
AE,A,0.042388272324593565
AE,A,0.048294375966880944
AE,A,0.25437368943396765
AE,A,0.6402002472662786
AE,A,0.0453340850711495
AE,A,0.2453426485714405
AE,A,0.04360388217362285
AE,A,0.14462416173480547
AE,A,0.056202911504386305
AE,A,0.6089478725252874
AE,A,0.4112584422652975
AE,A,0.012759549185135895
AE,A,0.18013117004879645
AE,A,0.057843242916767436
AE,A,0.06948681076905913
AE,A,0.0796872942741216
AE,A,0.788358537844308
AE,A,0.27010997480471205
AE,A,0.2647920966678733
AE,A,0.10052072761081475
AE,A,0.059733291698484216
AE,A,0.15261328241756986
AE,A,0.06037412668201677
AE,A,0.05934945740409746
AE,A,0.02181610351436655
AE,A,0.05168643510172236
AE,A,0.10531561030691984
AE,A,0.07600774236877161
AE,A,0.051509323087652756
AE,A,0.09860686647740935
AE,A,0.12045777517013652
AE,A,0.19294301957795418
AE,A,0.5142075143857622
AE,A,0.08384428360535186
AE,A,0.13823946535899695
AE,A,0.06822226975016694
AE,A,0.055795222575348885
AE,A,0.07537399317153481
AE,A,0.13305259187148621
AE,A,0.22529226356812
AE,A,0.18882979859601
AE,A,0.14686971156537487
AE,A,0.08909668932450197
AE,A,0.9470687723809478
AE,A,0.028803038519966035
AE,A,0.24483854820307555
AE,A,0.1706166766826783
AE,A,0.09102330539551984
AE,A,0.06012990075013124
AE,A,0.054794477970018365
AE,A,0.13354223276677302
AE,A,0.09264895595586332
AE,A,0.494497344395138
AE,A,0.16522491879875392
AE,A,0.15655667885675115
AE,A,0.06011180513740994
AE,A,0.35006261883441697
AE,A,0.5002138099784018
AE,A,0.06660122945986155
AE,A,0.5573055398355441
AE,A,0.05608331403523781
AE,A,0.8218639867058511
AE,A,0.8819746236858433
AE,A,0.05655979849444865
AE,A,0.07517570566452918
AE,A,0.09297759447457499
AE,A,0.13017141107770983
AE,A,0.042278959602187104
AE,A,0.038472931508821334
AE,A,0.31874801723548946
AE,A,0.18855787946678965
AE,A,0.09297610145458346
AE,A,0.09942094344155725
AE,A,0.11421128926361426
AE,A,0.07880873212627215
AE,A,0.3820931834692592
AE,A,0.060311226146327175
AE,A,0.3252295630471094
AE,A,0.04729166318995742
AE,A,0.03944638404419026
AE,A,0.08066207938967992
AE,A,0.20248563729390692
AE,A,0.0391004455809643
AE,A,0.5379496694025185
AE,A,0.08385756023364523
AE,A,0.2136833852413006
AE,A,0.08158103867822641
AE,A,0.09239344525785216
AE,A,0.013600440029977812
AE,A,0.18687737903756643
AE,A,0.10301878984617892
AE,A,0.18214783184650116
AE,A,0.15168673784596623
AE,A,0.09562596603436203
AE,A,0.0919661285067164
AE,A,0.03806792820586301
AE,A,0.1501645563551099
AE,A,0.03280450459721716
AE,A,0.22386164291998373
AE,A,0.09335443428152762
AE,A,0.0888011625652088
AE,A,0.24949540915808832
AE,A,0.03925533003905744
AE,A,0.1162252406856761
AE,A,0.5790448427027127
AE,A,0.4048266735122764
AE,A,0.03695833636933189
AE,A,0.030846176078371746
AE,A,0.2199456763431656
AE,A,0.24669999617221014
AE,A,0.23175624612993193
AE,A,0.19653068504489035
AE,A,0.10283208452533854
AE,A,0.0633999920057867
AE,A,0.07972360953996095
AE,A,0.26576953202143677
AE,A,0.2282325188374574
AE,A,0.4687816062561387
AE,A,0.057737726173473954
AE,A,0.055517087456026605
AE,A,0.08017845716741431
AE,A,0.17989288328745381
AE,A,0.2516254860438914
AE,A,0.5826999618751943
AE,A,0.09681931355688816
AE,A,0.04779850154123492
AE,A,0.06537567452904311
AE,A,0.10879498310425073
AE,A,0.1096965251707988
AE,A,0.01660476193983424
AE,A,0.11840276032471632
AE,A,0.5817138604442949
AE,A,0.10800840806426125
AE,A,0.03312671451293069
AE,A,0.030722599902136667
AE,A,0.379571929781109
AE,A,0.1736225336380075
AE,A,0.2650464486530391
AE,A,0.08995701515142125
AE,A,0.14590177668132998
AE,A,0.17841003794173463
AE,A,0.010990050939317722
AE,A,0.21167201329672317
AE,A,0.21981421133061863
AE,A,0.1637786872749161
AE,A,0.2511016715457205
AE,A,0.1472664362369815
AE,A,0.20665243025290495
AE,A,0.08646366267629178
AE,A,0.062457540992454985
AE,A,0.351735631458212
AE,A,0.05477439372419885
AE,A,0.11562003802126228
AE,A,0.09632624688213696
AE,A,0.2117988850708038
AE,A,0.2351114881909325
AE,A,0.13735271297624513
AE,A,0.11497592306399099
AE,A,0.06395532892439253
AE,A,0.29762249153758813
AE,A,0.22344112868411725
AE,A,0.1125717843335473
AE,A,0.32663785924696326
AE,A,0.08916306662400758
AE,A,0.13652690477557938
