index,distancia_1,distancia_2,id_proximo_1,id_proximo_2,base
29728,0.2053643692338764,0.23230292672291977,15588,19599,Adults Full
29729,0.09467203651132151,0.1164618315270363,8905,5042,Adults Full
29730,0.1785769650736252,0.18079219356725781,20265,25714,Adults Full
29731,0.07472187622113277,0.0960383089351396,30143,2828,Adults Full
29732,0.017704265797732877,0.0435940603452076,3913,1623,Adults Full
29733,0.21708425099050535,0.21891253176797912,3981,3903,Adults Full
29734,0.20156137552640707,0.25024562019142704,26118,5311,Adults Full
29735,0.001673435568655679,0.006295758003830421,15865,30570,Adults Full
29736,0.20523896584767043,0.24230886366043128,10825,18503,Adults Full
29737,0.10214592260400779,0.1060027782052295,17669,12331,Adults Full
29738,0.027447412873779737,0.028556770504699798,26142,12123,Adults Full
29739,0.12910312139415114,0.14661920648081586,13066,3142,Adults Full
29740,0.077014461700374,0.07778006323591471,21196,31039,Adults Full
29741,0.13919616468760757,0.28491019973395443,21164,23950,Adults Full
29742,0.0781251151812407,0.12096608372672919,3688,3068,Adults Full
29743,0.28540438367275744,0.3048625181714639,26081,4212,Adults Full
29744,0.24372917617057085,0.2474817270129431,8724,11868,Adults Full
29745,0.16743136019455807,0.16785157949252547,14508,10732,Adults Full
29746,0.16047411843826742,0.1749241655181701,30715,10080,Adults Full
29747,0.25109844552119565,0.28164104875162155,18220,23050,Adults Full
29748,0.228937463029474,0.2517852865316312,30816,2477,Adults Full
29749,0.19890054213031788,0.24271295522609043,16151,14400,Adults Full
29750,0.18818348807962731,0.24960519652118263,5018,21141,Adults Full
29751,0.1608503116078252,0.1708387770361759,824,7610,Adults Full
29752,0.030533802823803448,0.03308476599699959,9365,2562,Adults Full
29753,0.05640995220875788,0.1410859726835235,4679,12873,Adults Full
29754,0.1392667636798074,0.15831672752069792,1198,24165,Adults Full
29755,0.05697957817236232,0.06656381639055432,29250,10334,Adults Full
29756,0.09625899062390267,0.10994763822846038,28512,14049,Adults Full
29757,0.06680348045639344,0.0680031892079099,13902,7068,Adults Full
29758,0.11222697278717661,0.11884944185630354,2092,10383,Adults Full
29759,0.07200556144827902,0.07503110392359459,30445,24816,Adults Full
29760,0.36522474420161616,0.3880990226995356,9479,28922,Adults Full
29761,0.22564443689326089,0.24083034425847205,32524,3686,Adults Full
29762,0.3078217282572736,0.31742632892183,3506,31532,Adults Full
29763,0.23977307765172742,0.24265054748141274,17833,5640,Adults Full
29764,0.11240893399857818,0.16821111916498108,7379,17430,Adults Full
29765,0.23313952479731442,0.2470745975284392,21145,20464,Adults Full
29766,0.06167144126660862,0.0888722495190469,9608,726,Adults Full
29767,0.42557221563170405,0.45742682959716946,14893,30338,Adults Full
29768,0.16150746557380447,0.18662737954125325,22527,7671,Adults Full
29769,0.05002512869969167,0.05962848159807197,17373,5403,Adults Full
29770,0.19617751974940884,0.23158101036294212,3921,31961,Adults Full
29771,0.17718911797624068,0.18904383376154105,6229,28670,Adults Full
29772,0.0387746962763126,0.07501474774499688,1457,5047,Adults Full
29773,0.09367909690488845,0.11875242740501749,22387,16794,Adults Full
29774,0.1330597819960661,0.16047239424064008,7136,3042,Adults Full
29775,0.06984313256125932,0.08979234211981652,15553,30482,Adults Full
29776,0.24364609268793125,0.2556703361420267,26877,8718,Adults Full
29777,0.13167802719568356,0.14786006827958265,2686,27891,Adults Full
29778,0.019943499228752003,0.08653165176359504,24010,5606,Adults Full
29779,0.09717967115516125,0.11089771996614553,3331,30708,Adults Full
29780,0.20282387277342367,0.2748190968336406,22363,5059,Adults Full
29781,0.10324076291354936,0.11021107130351597,27834,30041,Adults Full
29782,0.309509047537199,0.41499139473645313,8053,9340,Adults Full
29783,0.1873518711272376,0.23585429226380916,17899,23393,Adults Full
29784,0.07168829311945595,0.07266238974894731,21330,18512,Adults Full
29785,0.04046739381426495,0.05089014615875023,20425,19757,Adults Full
29786,0.02754032954326266,0.0479809613180542,13500,17666,Adults Full
29787,0.137993439309525,0.18591738495958152,23014,8159,Adults Full
29788,0.151412806889852,0.1523869274140116,7470,4965,Adults Full
29789,0.5620200531316227,0.563637549876156,27246,163,Adults Full
29790,0.09870192922629759,0.12791175060992055,22800,19436,Adults Full
29791,0.4263295124929891,0.43304503977523534,31580,2859,Adults Full
29792,0.15749133873795082,0.22170586896335165,29646,11390,Adults Full
29793,0.14487615214671468,0.15956261557528442,2774,27116,Adults Full
