index,distancia_1,distancia_2,id_proximo_1,id_proximo_2,base
0,0.15804045155480165,0.17381434821953243,27190,9350,Adults Outliers 1.5
1,0.018312812390878522,0.04658690527794818,4884,10784,Adults Outliers 1.5
2,0.01834055500468615,0.03584349993914925,1221,20371,Adults Outliers 1.5
3,0.07682997530752084,0.07832549398223398,12542,29848,Adults Outliers 1.5
4,0.17539972971930842,0.1773890121206013,363,13521,Adults Outliers 1.5
5,0.20006689172228626,0.2466318209036519,12837,1643,Adults Outliers 1.5
6,0.12658990644617704,0.13722294711120192,12440,31543,Adults Outliers 1.5
7,0.2178716493713739,0.22316725918024027,24751,16429,Adults Outliers 1.5
8,0.09915707091255328,0.11263735674707565,21932,1549,Adults Outliers 1.5
9,0.13390969152942264,0.23105073684042277,9506,30801,Adults Outliers 1.5
10,0.16949078735046263,0.1754972359358556,23671,14045,Adults Outliers 1.5
11,0.12072657912936145,0.18687758689123468,7942,15155,Adults Outliers 1.5
12,0.4743127799185674,0.48214351952174084,31801,7735,Adults Outliers 1.5
13,0.16745806295042498,0.24551341237105936,1663,4326,Adults Outliers 1.5
14,0.022926203121391986,0.09408738531410542,11848,5707,Adults Outliers 1.5
15,0.013350131076730831,0.05732603469118866,14270,18089,Adults Outliers 1.5
16,0.13331750646743226,0.1428807562766227,7687,15525,Adults Outliers 1.5
17,0.2149704422031777,0.25208651228414375,166,8574,Adults Outliers 1.5
18,0.3079412715293905,0.3590199234023532,12928,5981,Adults Outliers 1.5
19,0.08717912141141981,0.10824459958810635,24129,2678,Adults Outliers 1.5
20,0.13039975222757985,0.13647139650933476,9109,15168,Adults Outliers 1.5
21,0.34341083082415297,0.4123438774713251,18422,4733,Adults Outliers 1.5
22,0.15376031326136427,0.1853782732732121,14724,1797,Adults Outliers 1.5
23,0.11615045992588846,0.13343572442097895,27689,24489,Adults Outliers 1.5
24,0.09061470160969952,0.10636979298350754,23489,7343,Adults Outliers 1.5
25,0.041512413154014306,0.0836262817017524,1257,23664,Adults Outliers 1.5
26,0.15376747584334066,0.19474405477742365,18996,6058,Adults Outliers 1.5
27,0.011277352929191409,0.12892929879260592,23284,4156,Adults Outliers 1.5
28,0.3602210053236668,0.4193412708124071,2395,28527,Adults Outliers 1.5
29,0.08558736453972214,0.13308069896220595,24401,16164,Adults Outliers 1.5
30,0.2909769274656963,0.3404591869741484,9857,14412,Adults Outliers 1.5
31,0.07636974302021202,0.07794071905840341,25916,7915,Adults Outliers 1.5
32,0.16169276759236662,0.16678314050187545,11428,22288,Adults Outliers 1.5
33,0.3896876900633132,0.480115417981316,14895,31273,Adults Outliers 1.5
34,0.03193010406016209,0.043508192420410666,16537,25472,Adults Outliers 1.5
35,0.1122694826202791,0.1780706463643,27544,28313,Adults Outliers 1.5
36,0.13649437110448884,0.14491771526994124,13312,14508,Adults Outliers 1.5
37,0.08836035057083927,0.09403861237882774,16002,3279,Adults Outliers 1.5
38,0.061207480273107205,0.06175019699086545,10788,16172,Adults Outliers 1.5
39,0.30820246027994086,0.3086113665943488,29896,16972,Adults Outliers 1.5
40,0.1252273403432461,0.16238587013492764,25677,2743,Adults Outliers 1.5
41,0.017076701443059623,0.04260922320471675,11840,15270,Adults Outliers 1.5
42,0.10564591692736808,0.11478060416915016,10886,5077,Adults Outliers 1.5
43,0.1462511644900688,0.16529200443270248,1652,11142,Adults Outliers 1.5
44,0.035803845856437574,0.07710663413836946,23352,2125,Adults Outliers 1.5
45,0.4470931674217533,0.46085170772441864,7155,8989,Adults Outliers 1.5
46,0.44085524140144994,0.44836959078832606,23894,7156,Adults Outliers 1.5
47,0.2516758317867007,0.26701470704000785,27797,19285,Adults Outliers 1.5
48,0.23317268664799565,0.2847157140636263,25710,14955,Adults Outliers 1.5
49,0.12380795496658946,0.1772053338732576,26266,32331,Adults Outliers 1.5
50,0.027862652040244976,0.028621973067884072,2101,19330,Adults Outliers 1.5
51,0.09883357963500174,0.09887867851493044,23229,22566,Adults Outliers 1.5
52,0.07441952941387363,0.07692779853068152,20032,1794,Adults Outliers 1.5
53,0.21244551581342247,0.23206922718823644,10668,8599,Adults Outliers 1.5
54,0.014214980146358644,0.021914896138520178,5261,13576,Adults Outliers 1.5
55,0.019391941566581798,0.06714516464441847,10717,12353,Adults Outliers 1.5
56,0.17713978714528109,0.1871361305123727,1787,27071,Adults Outliers 1.5
57,0.10987851856716066,0.1449309744417827,23051,5881,Adults Outliers 1.5
58,0.2087558821473306,0.24011452619209575,30755,4909,Adults Outliers 1.5
59,0.20579193964716305,0.2604882247181938,22505,18938,Adults Outliers 1.5
60,0.031490567552374886,0.032614149908944554,7837,30546,Adults Outliers 1.5
61,0.02116664571473617,0.02342541383650652,59,25570,Adults Outliers 1.5
62,0.09428827068632947,0.13077843309792767,13258,9729,Adults Outliers 1.5
63,0.02411132693117453,0.02805787037071374,18656,14817,Adults Outliers 1.5
64,0.016840982871734966,0.03034937077045422,19342,13046,Adults Outliers 1.5
65,0.3719225641124591,0.3764721140893779,28066,25196,Adults Outliers 1.5
66,0.23441213690609458,0.2519484282830864,30615,25034,Adults Outliers 1.5
67,0.031187351666690833,0.0428160682882718,3829,24400,Adults Outliers 1.5
68,0.32115895665882543,0.3747503690823008,25939,7109,Adults Outliers 1.5
69,0.6932462583357296,0.7441884095050021,23028,18462,Adults Outliers 1.5
70,0.1291479330706277,0.15447155470944324,21797,15688,Adults Outliers 1.5
71,0.08829328628921365,0.10183936394298715,26604,27448,Adults Outliers 1.5
72,0.14922102485170718,0.19287179024885848,10456,8523,Adults Outliers 1.5
73,0.08738408454589104,0.08795321636087468,22633,13744,Adults Outliers 1.5
74,0.03898678451988462,0.041198898472822626,28284,20796,Adults Outliers 1.5
75,0.09498863724539755,0.09730784905255588,5871,11419,Adults Outliers 1.5
76,0.09153751047155204,0.13088732085549762,16289,31045,Adults Outliers 1.5
77,0.019485942418962676,0.07551086185350508,16240,23593,Adults Outliers 1.5
78,0.16684558453789589,0.17886382347551508,18203,31807,Adults Outliers 1.5
79,0.17887663382664531,0.20454235450289454,13353,14104,Adults Outliers 1.5
80,0.04185383146010304,0.056169254317959987,32305,4566,Adults Outliers 1.5
81,0.04113210855508363,0.10530434164329623,2525,1190,Adults Outliers 1.5
82,0.24783983005162732,0.28143852592696184,8235,20392,Adults Outliers 1.5
83,0.11920764110737601,0.1690908995779278,3521,24756,Adults Outliers 1.5
84,0.2801029370049963,0.3022702493255005,9955,23295,Adults Outliers 1.5
85,0.13496302624385312,0.1501050185338497,3957,5043,Adults Outliers 1.5
86,0.22708265296207308,0.2366297098606029,16247,18148,Adults Outliers 1.5
87,0.18049979038409145,0.18746591530333453,11196,19551,Adults Outliers 1.5
88,0.2995932423941261,0.33071786533622355,13600,23189,Adults Outliers 1.5
89,0.026778215861458135,0.07514681250219753,5101,23498,Adults Outliers 1.5
90,0.11222987014782153,0.12131681734252205,23293,8028,Adults Outliers 1.5
91,0.2073002666493447,0.2112211134441478,25349,10456,Adults Outliers 1.5
92,0.07017821798029694,0.0702969084872951,24135,30633,Adults Outliers 1.5
93,0.013745895932742152,0.020835065311691433,8065,32342,Adults Outliers 1.5
94,0.46231680856965557,0.5000537308537616,463,16256,Adults Outliers 1.5
95,0.3516967922917546,0.38248185373039395,20320,8414,Adults Outliers 1.5
96,0.004400239062224087,0.05700077811656141,32464,4885,Adults Outliers 1.5
97,0.22049497627221962,0.23261927560914547,23547,20086,Adults Outliers 1.5
98,0.015993029956891384,0.04949296110574836,17092,12804,Adults Outliers 1.5
99,0.12854088902040212,0.14217005306965008,9808,9880,Adults Outliers 1.5
100,0.4503741041069017,0.4700918982676904,2224,26061,Adults Outliers 1.5
101,0.4313736772811529,0.46813021168883284,6120,21768,Adults Outliers 1.5
102,0.09854564874170785,0.14393813786363058,30121,9556,Adults Outliers 1.5
103,0.10685529413913591,0.1876091166850341,19840,20547,Adults Outliers 1.5
104,0.021252120281990458,0.033281609355217866,1147,4794,Adults Outliers 1.5
105,0.15832391273603752,0.18581850791920657,11983,19835,Adults Outliers 1.5
106,0.40767752234847127,0.4295595919553056,30830,30163,Adults Outliers 1.5
107,0.14120725653349714,0.23122953275392177,29597,186,Adults Outliers 1.5
108,0.26096901204884093,0.32938354523462765,7043,8031,Adults Outliers 1.5
109,0.1425301498606194,0.15014473453000163,29786,29547,Adults Outliers 1.5
110,0.21411708267773832,0.2530967308926727,11961,5311,Adults Outliers 1.5
111,0.03227627766937085,0.0571695163634964,30383,17422,Adults Outliers 1.5
112,0.27367994685640473,0.2889798167772405,10722,14201,Adults Outliers 1.5
113,0.009602559052444268,0.01128278616155716,17230,19098,Adults Outliers 1.5
114,0.30141792927764927,0.30631139334134766,6123,25981,Adults Outliers 1.5
115,0.2985796506154401,0.3294397431175153,17228,17971,Adults Outliers 1.5
116,0.10934456856140772,0.1488784528895914,10223,25245,Adults Outliers 1.5
117,0.13212843595090984,0.22412571186167649,25566,4150,Adults Outliers 1.5
118,0.4390999162000989,0.44617499157426993,6047,30159,Adults Outliers 1.5
119,0.06853056474872146,0.09325159783069129,25233,14009,Adults Outliers 1.5
120,0.18474133451967367,0.20274770045171267,10193,2702,Adults Outliers 1.5
121,0.13100593384485876,0.15770939638484635,14379,9917,Adults Outliers 1.5
122,0.33336032447896446,0.34487970830566855,15153,10453,Adults Outliers 1.5
123,0.12287613528483188,0.1473193700116893,4432,10632,Adults Outliers 1.5
124,0.014360226282212738,0.016168009895764734,8611,27888,Adults Outliers 1.5
125,0.11299759481056615,0.18666657984015017,11203,28076,Adults Outliers 1.5
126,0.016427378057891087,0.027837768565588006,18406,62,Adults Outliers 1.5
127,0.01372900726576409,0.028015050293853958,19734,3632,Adults Outliers 1.5
128,0.06145982007337445,0.06423574795235054,8769,22841,Adults Outliers 1.5
129,0.46124895116303655,0.49844401075000505,23123,4713,Adults Outliers 1.5
130,0.04360926392163082,0.04592200345067025,26365,31848,Adults Outliers 1.5
131,0.11545751529569266,0.20926364106058512,12837,14570,Adults Outliers 1.5
132,0.0516051955948013,0.0580051918927657,8162,14026,Adults Outliers 1.5
133,0.14476884190591163,0.14699938716957744,28064,17318,Adults Outliers 1.5
134,0.038941873393635085,0.0446472476432061,20589,9480,Adults Outliers 1.5
135,0.29566122321340504,0.30500172573368567,19546,14895,Adults Outliers 1.5
136,0.10569565464005584,0.1183873993261781,16054,18943,Adults Outliers 1.5
137,0.11050477152085166,0.11740503642332173,2269,16335,Adults Outliers 1.5
138,0.13800083075086064,0.16088193545349422,22505,18938,Adults Outliers 1.5
139,0.031140229334732594,0.03636003847935594,13885,18264,Adults Outliers 1.5
140,0.16301745186678923,0.18044439240798507,1604,6491,Adults Outliers 1.5
141,0.01052688770867008,0.01565399913010283,18580,14659,Adults Outliers 1.5
142,0.050611614962988716,0.12457902105908451,18585,25046,Adults Outliers 1.5
143,0.04455466644099937,0.04763119259010063,11482,16995,Adults Outliers 1.5
144,0.16365489768045033,0.2090072306056485,7853,19235,Adults Outliers 1.5
145,0.37096339869006023,0.3808566775804985,23032,26900,Adults Outliers 1.5
146,0.0866695678682144,0.09075214541993545,3267,22640,Adults Outliers 1.5
147,0.15354445266837233,0.17576557997933626,14223,23893,Adults Outliers 1.5
148,0.12349820003182933,0.18410706930064208,24433,8752,Adults Outliers 1.5
149,0.41559047260960386,0.4255563626092282,30422,8125,Adults Outliers 1.5
150,0.43830734459859017,0.4444101224585806,31246,9911,Adults Outliers 1.5
151,0.17228877005797671,0.19861775457706085,23975,32538,Adults Outliers 1.5
152,0.16221551423745326,0.17126100398216793,1165,9590,Adults Outliers 1.5
153,0.0529669023439491,0.07600787249803494,24519,11636,Adults Outliers 1.5
154,0.2207429938190044,0.22296304883356483,25559,15482,Adults Outliers 1.5
155,0.08630939245687522,0.12829014744467623,18600,30456,Adults Outliers 1.5
156,0.018269243829885512,0.03940378043074016,14806,15490,Adults Outliers 1.5
157,0.07405084040042746,0.07891111529646581,12585,17317,Adults Outliers 1.5
158,0.01733390525718131,0.022418373301302325,5684,4357,Adults Outliers 1.5
159,0.020652395376319257,0.025485934719713124,10945,25055,Adults Outliers 1.5
160,0.329352730796206,0.4249258135702629,575,26230,Adults Outliers 1.5
161,0.39762977220430346,0.39783805609593265,27404,19242,Adults Outliers 1.5
162,0.05299120375411339,0.0870819190669353,26011,5487,Adults Outliers 1.5
163,0.3682046679472438,0.386504451779178,7953,10373,Adults Outliers 1.5
164,0.11047948401292303,0.14368366412728323,18489,24409,Adults Outliers 1.5
165,0.3086500447284091,0.3188917905492928,16339,1340,Adults Outliers 1.5
166,0.0913990887350715,0.1244863288843092,649,19314,Adults Outliers 1.5
167,0.24064498110296778,0.2531176645667847,27561,20180,Adults Outliers 1.5
168,0.029387230272724597,0.09282143152121072,23799,22157,Adults Outliers 1.5
169,0.4303577559019702,0.4533267796967135,24330,29786,Adults Outliers 1.5
170,0.12941293954611122,0.14499972699179303,9445,1752,Adults Outliers 1.5
171,0.20957831361334445,0.23329141199789177,18169,16508,Adults Outliers 1.5
172,0.153323304453381,0.23621965966516345,29597,10943,Adults Outliers 1.5
173,0.06552131818852966,0.11235684097456108,2525,8250,Adults Outliers 1.5
174,0.15862519834081645,0.16120381249804452,24630,29056,Adults Outliers 1.5
175,0.0679563374971103,0.07400157990527904,13279,23450,Adults Outliers 1.5
176,0.07786492593883713,0.11243838933306007,5737,5640,Adults Outliers 1.5
177,0.22511626490337955,0.24196350732100916,454,3430,Adults Outliers 1.5
178,0.17074175968445374,0.33073665781349654,28593,22715,Adults Outliers 1.5
179,0.017422080830828288,0.076959383162884,2440,19518,Adults Outliers 1.5
180,0.14198718355360543,0.14341424683178092,5386,3029,Adults Outliers 1.5
181,0.05447256221795524,0.07503594036655843,8655,26306,Adults Outliers 1.5
182,0.37367836067038873,0.38402602041584,29650,20259,Adults Outliers 1.5
183,0.05480432085512436,0.06017283549372282,15653,20617,Adults Outliers 1.5
184,0.16677143648718146,0.20536655422702457,717,13667,Adults Outliers 1.5
185,0.10522394459171615,0.15004412338982526,26159,13291,Adults Outliers 1.5
186,0.2510706186776931,0.35287928994902273,2700,6704,Adults Outliers 1.5
187,0.11898377230837592,0.1631081264298809,31764,12031,Adults Outliers 1.5
188,0.043976497627013784,0.07242826983882615,32136,6667,Adults Outliers 1.5
189,0.09108432547138486,0.15030189793968843,20659,17969,Adults Outliers 1.5
190,0.10180255517765933,0.11143990607050543,30049,1231,Adults Outliers 1.5
